Tourney,Reg_Season,Rankings,Coaches
Texas,Winthrop,Southern Illinois,NC State
Long Beach State,Boston University,St. John's (NY),Southern Illinois
Oklahoma State,Detroit Mercy,Saint Francis (PA),LSU
,,Middle Tennessee,St. John's (NY)
,,Louisiana State,Saint Francis (PA)
,,Princeton,Middle Tennessee
,,Howard,Princeton
,,Bryant,Howard
,,North Alabama,Bryant
,,Massachusetts,North Alabama
,,Drake,Drake
,,Oregon State,Oregon State
,,UC-Riverside,UC-Riverside
,,Portland State,Portland State
,,Davidson,Davidson
,,Hartford,Hartford
,,Brigham Young,Ball State
,,Ball State,Charlotte
,,Charlotte,Dayton
,,Dayton,Georgetown
,,Georgetown,Lipscomb
,,Lipscomb,Notre Dame
,,Notre Dame,Fairfield
,,Fairfield,High Point
,,High Point,Georgia Southern
,,Georgia Southern,Delaware State
,,Delaware State,Miami (OH)
,,Miami (OH),Tulsa
,,Tulsa,Presbyterian
,,Presbyterian,Central Arkansas
,,Central Arkansas,North Texas
,,North Texas,Montana
,,North Carolina-Asheville,Kansas
,,Montana,Old Dominion
,,Kansas,Dartmouth
,,Old Dominion,San Diego State
,,Dartmouth,Texas Southern
,,San Diego State,Morris Brown
,,Texas Southern,Jacksonville State
,,Morris Brown,Drexel
,,Jacksonville State,Robert Morris
,,Drexel,Stetson
,,Robert Morris,Butler
,,Stetson,Harvard
,,Butler,UNC Asheville
,,Harvard,Wake Forest
,,Wake Forest,Rutgers
,,Rutgers,Oregon
,,Oregon,Virginia Tech
,,Virginia Tech,Saint Mary's
,,Longwood,UTEP
,,Colorado State,Longwood
,,San Francisco,Colorado State
,,Kansas State,San Francisco
,,Chattanooga,Kansas State
,,Ohio,Chattanooga
,,Virginia,VCU
,,Lehigh,Ohio
,,Troy,Lehigh
,,Central Florida,Virginia
,,IUPUI,Troy
,,McNeese State,IUPUI
,,Stony Brook,St. Joseph's
,,George Mason,McNeese State
,,Colorado,TCU
,,Missouri-Kansas City,Stony Brook
,,East Carolina,George Mason
,,Northeastern Illinois,Colorado
,,Cal Poly,East Carolina
,,Texas Christian,Northeastern Illinois
,,Southern,Cal Poly
,,Cal State Fullerton,Southern
,,Cornell,Cal State Fullerton
,,Wofford,Cornell
,,,Wofford
